,,,,,,Anything on this page that is in ,,GREEN,"either; needs to be changed by you, to your numbers; or has info for you about this page."
,,,,,,,,,
,my cow asks for,2.54,food for each feeding,,,"New update: Feed is now automatically calculated, simply input your items/skills below",,,
,,,,,,,,,
,my tax % when selling on the player network is,,,50,,"<--- Change this number to: the % of tax that your currently pay when selling on the player market as a plain number (50,25,20,10,15,7.5)",,,
,,,,,,,,,
,my chickens sleep,18,# of hours,,,<--- Change this number to the # of hours your cows sleep for,,,
,,,,,,,,,
,Best Betty Conversion rate is:,,400,,,<--- Change this number to the highest number of coins you can convert with betty,,,
,,,,,,,Find that info at,----->,https://sfl.world/util/prices
,,,,,,,"Look at the ""Coin Rate"" Column, and find the biggest number",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Change the TRUE/FALSE to reflect the items you own,,,,,,,<----- Push this button to pull the most recent prices from the player market,
,TRUE = i have this, FALSE = i do not have this,,,,,,may ask for account permissions when updating manually,
Boosts,true/false,add amount,,,,,,sheet updates automatically at the top of every hour,
,,,,,,,,,
Items,,,,,,,,,
cattlegrim,FALSE,0,0.25 feather 0.25 egg,,,,,,
fat chicken,FALSE,1,10% feed reduction,,,,,,
rich chicken,FALSE,0,adds 0.1 egg,,,,,,
alien chicken,FALSE,0,adds 0.1 feather,,,,,,
undead rooster,FALSE,0,adds 0.1 egg,,,,,,
ayam cemani,FALSE,0,adds 0.2 egg,,,,,,
chicken suit,FALSE,0,adds 1 feather,,,,,,
cluckulator,FALSE,1,25% feed reduction,,,,,,
chicken coop,FALSE,0,adds 1 egg,,,,,,
gold egg,FALSE,1,feed chickens for free,,,,,,
,,,,,,,,,
Skills,,,,,,,,,
abundant harvest,TRUE,0.2,adds 0.2 egg,,,,,,
bale ,TRUE,0.1,adds 0.1 egg,<---,**see blacksmith to build this**,,,,
double bale,TRUE,0.1,adds 0.1 egg,<---,this skill has the caviat that you must own the bale as well,,,,
fine fibers,TRUE,0.1,adds .1 feather,,,,,,
chunky feed skill,TRUE,2,"x2 exp, x1.5 feed",1.5,,,,,
featherweight,TRUE,0.25,adds 0.25 feather,,,,,,
efficient feeding,TRUE,0.95,5% feed reduction,,,,,,
clucky grazing,TRUE,0.75,25% feed reduction,,,,,,
,,,,,,,,,
feather boost,Total egg Boost,Feed Total,,,,,,,
0.35,0.4,1.06875,,,,,,,
,,,,,,,,,
,,,,,,,,,
level,coin,wood,iron,gold,crimstone,oil,cost (flower),,
1,200,150,10,10,0,0,6.467,,
2,10000,1000,100,75,30,0,93.4965,,
3,75000,5000,300,200,125,250,450.864837,,
,,,,,,,,,
p2p costs,,,,,,,,,
coin,0.0025,,,,,,,,
wood,0.0122,,,,,,,,
iron,0.075,,,,,,,,
gold,0.3387,,,,,,,,
crim,0.7798,,,,,,,,
oil,0.058599348,<--- Oil is calculated using the cost of materials for the drill from the p2p prices,,,,,,,
leather,0.00576558,,( ( (20*wood)+(9*iron)+(10*leather) ) *3) /50 = cost per 1 oil,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
level,sell limit (per week),,,,,,,,
1,5,,,,,,,,
2,8,,,,,,,,
3,10,,,,,,,,
