Corn,Wheat,Barley,Egg,Feather,Kale,Mixed,Kale Mixed,Kept After Tax,,Egg Boost,Feather Boost,Exp Modifer,food ask amnt
0.01639344,0.0155323,0.0236,0.02313,0.00576558,0.01969574,0.05552574,0.05908722,0.5,,0.4,0.35,2,1.06875
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
chicken lvl,type food,food xp reward,xp needed,xp gained,# needed,amnt food,Egg per lvl,Feather per lvl,flower per lvl,flower gained p2p,profit (both),profit (feather only),profit (egg only)
1,corn,120,60,120,1,1.06875,1.4,1.35,0.017520489,0.0200827665,0.0025622775,-0.0136287225,-0.001329489
2,corn,120,120,120,0,0,1.4,1.35,0,0.0200827665,0.0200827665,0.0038917665,0.016191
3,corn,120,240,240,1,1.06875,1.4,1.35,0.017520489,0.0200827665,0.0025622775,-0.0136287225,-0.001329489
4,wheat,120,360,360,1,1.06875,2.4,1.35,0.01660014563,0.0316477665,0.01504762088,-0.01270837913,0.01115585438
5,wheat,120,480,480,1,1.06875,2.4,1.35,0.01660014563,0.0316477665,0.01504762088,-0.01270837913,0.01115585438
6,wheat,120,660,720,2,2.1375,2.4,2.35,0.03320029125,0.0345305565,0.00133026525,-0.02642573475,-0.00544429125
7,barley,120,840,840,1,1.06875,2.4,2.35,0.0252225,0.0345305565,0.0093080565,-0.0184479435,0.0025335
8,barley,120,1020,1080,2,2.1375,3.4,2.35,0.050445,0.0460955565,-0.0043494435,-0.0436704435,-0.011124
9,barley,120,1200,1200,1,1.06875,3.4,2.35,0.0252225,0.0460955565,0.0208730565,-0.0184479435,0.0140985
10,barley,120,1440,1440,2,2.1375,3.4,3.35,0.050445,0.0489783465,-0.0014666535,-0.0407876535,-0.011124
11,mixed,160,1680,1760,2,2.1375,3.4,3.35,0.1186862693,0.0489783465,-0.06970792275,-0.1090289228,-0.07936526925
12,mixed,160,1920,1920,1,1.06875,3.4,3.35,0.05934313463,0.0489783465,-0.01036478813,-0.04968578813,-0.02002213463
13,mixed,160,2160,2240,2,2.1375,3.4,3.35,0.1186862693,0.0489783465,-0.06970792275,-0.1090289228,-0.07936526925
14,mixed,160,2400,2400,1,1.06875,3.4,3.35,0.05934313463,0.0489783465,-0.01036478813,-0.04968578813,-0.02002213463
15,mixed,160,2720,2720,2,2.1375,4.4,4.35,0.1186862693,0.0634261365,-0.05526013275,-0.1061461328,-0.06780026925
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,only feed to level:,both,feather only,egg only
,,,,,,,,,,5,0.05530256325,-0.04878243675,0.03584373075
,,,,,,,,,,10,0.0809978445,-0.1965621555,0.0247834395
,,,,,,,,,,15,-0.13440771,-0.5139915773,-0.2417916375
