,,,,,,Anything on this page that is in ,,GREEN,"either; needs to be changed by you, to your numbers; or has info for you about this page."
,,,,,,,,,
,my cow asks for,2.54,food for each feeding,,,"New update: Feed is now automatically calculated, simply input your items/skills below",,,
,,,,,,,,,
,my tax % when selling on the player network is,,,5,,"<--- Change this number to: the % of tax that your currently pay when selling on the player market as a plain number (50,25,20,10,15,7.5)",,,
,,,,,,,,,
,my cows sleep for,12,# of hours,,,<--- Change this number to the # of hours your cows sleep for,,,
,,,,,,,,,
,Best Betty Conversion rate is:,,1019,,,<--- Change this number to the highest number of coins you can convert with betty,,,
,i ,,,,,,Find that info at,----->,https://sfl.world/util/prices
,I have ,28,cows in my barn,,,,"Look at the ""Coin Rate"" Column, and find the biggest number",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Change the TRUE/FALSE to reflect the items you own,,,,,,,<----- Push this button to pull the most recent prices from the player market,
,TRUE = i have this, FALSE = i do not have this,,,,,,may ask for account permissions when updating manually,
Boosts,true/false,add amount,,,,,,sheet updates automatically at the top of every hour,
,,,,,,,,,
Items,,,,,,,,,
milk apron,TRUE,0.5,adds (0.5 milk),,,,,,
cowbell,TRUE,2,adds 2.00 milk,,,,,,
cowfish,TRUE,0.2,adds 0.2 milk,,,,,,
cattlegrim,TRUE,0.25,0.25 milk 0.25 leather,,,,,,
moo-ver,TRUE,0.25,adds .25 leather,,,,,,
animal bud,TRUE,0.2,adds 0.2 milk 0.2 leather,,,,,,
mootant,TRUE,0.1,adds 0.1 leather,,,,,,
training whistle,TRUE,1,adds 1 leather,,,,,,
bull whip,TRUE,0.5,50% feed reduction,,,,,,
dr. cow,TRUE,0.95,5% feed reduction,,,,,,
gold cow,FALSE,1,feed cows for free,,,,,,
collie shrine,TRUE,0.95,reduce feed by 5%,,,,,,
,,,,,,,,,
Skills,,,,,,,,,
abundant harvest,TRUE,0.2,adds 0.2 milk,,,,,,
bale economy,TRUE,0.1,adds 0.1 milk,<---,these two skills have the caviat of already owning the bale,,,,
double bale,TRUE,0.1,adds 0.1 milk,<---,**see blacksmith to build this**,,,,
fine fibers,TRUE,0.1,adds .1 leather,,,,,,
chunky feed skill,TRUE,2,"x2 exp, x1.5 feed",1.5,,,,,
cow smart,TRUE,0.75,25% feed reduction,,,,,,
efficient feeding,TRUE,0.95,5% feed reduction,,,,,,
leathercraft,TRUE,0.25,adds 0.25 leather,,,,,,
,,,,,,,,,
Total leather boost,Total Milk Boost,Feed Total,,,,,,,
2.15,3.55,2.411367188,,,,,,,
,,,,,,,,,
,,,,,,,,,
level,coin,wood,iron,gold,crimstone,oil,cost (flower),,
1,200,150,10,10,0,0,6.163270854,,
2,10000,1000,100,75,30,0,78.31004269,,
3,75000,5000,300,200,125,250,354.3265702,,
,,,,,,,,,
p2p costs,,,,,,,,,
coin,0.0009813542689,,,,,,,,
wood,0.0122,,,,,,,,
iron,0.075,,,,,,,,
gold,0.3387,,,,,,,,
crim,0.7798,,,,,,,,
oil,0.12804,<--- Oil is calculated using the cost of materials for the drill from the p2p prices,,,,,,,
leather,0.1215,,( ( (20*wood)+(9*iron)+(10*leather) ) *3) /50 = cost per 1 oil,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
level,sell limit (per week),,,,,,,,
1,5,,,,,,,,
2,8,,,,,,,,
3,10,,,,,,,,
