Corn,Wheat,Barley,Milk,Leather,Kale,Mixed,Kale Mixed,Kept After Tax,Milk Boost,Leather Boost,Exp Modifer,food ask amnt,cows in barn,time asleep,
0.0197875,0.014,0.02667398,0.1283,0.1215,0.01865405,0.06046148,0.05596215,0.95,3.55,2.15,2,2.411367188,28,12,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
cow lvl,type food,food xp reward,xp needed,xp gained,# needed,amnt food,Milk per lvl,Leather per lvl,flower per lvl,flower gained p2p,profit (both),profit (leather only),profit (milk only),Profit times # of cows,Profit per 24hrs * # cows
1,corn,120,180,240,2,4.822734375,4.55,3.15,0.09542985645,0.9181655,0.8227356436,0.2681588936,0.4591468936,23.03659802,46.07319604
2,corn,120,360,360,1,2.411367188,4.55,3.15,0.04771492822,0.9181655,0.8704505718,0.3158738218,0.5068618218,24.37261601,48.74523202
3,corn,120,720,720,3,7.234101563,4.55,3.15,0.1431447847,0.9181655,0.7750207153,0.2204439653,0.4114319653,21.70058003,43.40116006
4,wheat,120,1080,1080,3,7.234101563,5.55,3.15,0.1012774219,1.0400505,0.9387730781,0.2623113281,0.5751843281,26.28564619,52.57129238
5,wheat,120,1440,1440,3,7.234101563,5.55,3.15,0.1012774219,1.0400505,0.9387730781,0.2623113281,0.5751843281,26.28564619,52.57129238
6,wheat,120,1980,2040,5,12.05683594,5.55,4.15,0.1687957031,1.1554755,0.9866797969,0.3102180469,0.5076660469,27.62703431,55.25406863
7,barley,120,2520,2520,4,9.64546875,5.55,4.15,0.2572830405,1.1554755,0.8981924595,0.2217307095,0.4191787095,25.14938887,50.29877773
8,barley,120,3060,3120,5,12.05683594,6.55,4.15,0.3216038007,1.2773605,0.9557566993,0.1574099493,0.4767429493,26.76118758,53.52237516
9,barley,120,3600,3600,4,9.64546875,6.55,4.15,0.2572830405,1.2773605,1.020077459,0.2217307095,0.5410637095,28.56216887,57.12433773
10,barley,120,4320,4320,6,14.46820313,6.55,5.15,0.3859245608,1.3927855,1.006860939,0.2085141892,0.4124221892,28.1921063,56.3842126
11,mixed,160,5040,5120,5,12.05683594,6.55,5.15,0.7289741449,1.3927855,0.6638113551,-0.1345353949,0.0693726051,18.58671794,37.17343589
12,mixed,160,5760,5760,4,9.64546875,6.55,5.15,0.5831793159,1.3927855,0.8096061841,0.01125943408,0.2151674341,22.66897315,45.33794631
13,mixed,160,6480,6560,5,12.05683594,6.55,5.15,0.7289741449,1.3927855,0.6638113551,-0.1345353949,0.0693726051,18.58671794,37.17343589
14,mixed,160,7200,7200,4,9.64546875,6.55,5.15,0.5831793159,1.3927855,0.8096061841,0.01125943408,0.2151674341,22.66897315,45.33794631
15,mixed,160,8160,8160,6,14.46820313,7.55,6.15,0.8747689739,1.6300955,0.7553265261,-0.1649052239,0.04546277612,21.14914273,42.29828546
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,only feed to level:,1 cow,5 cows,10 cows,20 cows,30 cows,your 28 cows 
,,,,,,,,,5,4.345753087,21.72876543,43.45753087,86.91506174,130.3725926,121.6810864
,,,,,,,,,10,9.213320441,46.06660221,92.13320441,184.2664088,276.3996132,257.9729724
,,,,,,,,,15,12.91548205,64.57741023,129.1548205,258.3096409,387.4644614,361.6334973
