,,,,,,Anything on this page that is in ,,GREEN,"either; needs to be changed by you, to your numbers; or has info for you about this page."
,,,,,,,,,
,my cow asks for,2.54,food for each feeding,,,"New update: Feed is now automatically calculated, simply input your items/skills below",,,
,,,,,,,,,
,my tax % when selling on the player network is,,,5,0.95,"<--- Change this number to: the % of tax that your currently pay when selling on the player market as a plain number (50,25,20,10,15,7.5)",,,
,,,,,,,,,
,,,,,,<--- Change this number to the # of hours your cows sleep for,,,
,,,,,,,,,
,Best Betty Conversion rate is:,,1019,,,<--- Change this number to the highest number of coins you can convert with betty,,,
,i ,,,,,,Find that info at,----->,https://sfl.world/util/prices
,,,,,,,"Look at the ""Coin Rate"" Column, and find the biggest number",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,<----- Push this button to pull the most recent prices from the player market,
,,,,,,,,may ask for account permissions when updating manually,
,,,,,,,,sheet updates automatically at the top of every hour,
,,,,,,,,,
Name,TRUE/FALSE,math,effect,,,,,,
rice panda,TRUE,0.25,.25 rice,,,,,,
olive royalty shirt,TRUE,0.25,.25 olive,,,,,,
vinny,TRUE,0.25,.25 grape,,,,,,
grape pants,FALSE,0,.2 grape,,,,,,
olive shield,FALSE,0,1 olive,,,,,,
non la hat,TRUE,1,1 rice,,,,,,
grape granny,FALSE,0,1 grape,,,,,,
turbo sprout,FALSE,1,50% growth time,,,,,,
pharaoh gnome,FALSE,0,2 greenhouse produce,,,,,,
hoot,FALSE,0,0.5 rice,,,,,,
green amulet,TRUE,1,10% chance of x10,,,,,,
infernal drill,FALSE,1,free oil,,,,,,
,,,,,,,,,
,,,,,,,,,
p2p costs,,,,,,,,,
coin,0.0009813542689,,,,,,,,
wood,0.0122,,,,,,,,
iron,0.075,,,,,,,,
gold,0.3387,,,,,,,,
crim,0.7798,,,,,,,,
oil,0.091514,<--- Oil is calculated using the cost of materials for the drill from the p2p prices,,,,,,,
leather,0.12189,,( ( (20*wood)+(9*iron)+(10*leather) ) *3) /50 = cost per 1 oil,,,,,,
