,,,,,,Anything on this page that is in ,,GREEN,"either; needs to be changed by you, to your numbers; or has info for you about this page."
,,,,,,,,,
,my cow asks for,2.54,food for each feeding,,,,,,
,,,,,,,,,
,my tax % when selling on the player network is,,,7.5,0.925,"<--- Change this number to: the % of tax that your currently pay when selling on the player market as a plain number (50,25,20,10,15,7.5)",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Best Betty Conversion rate is:,,1019,0.0009813542689,,<--- Change this number to the highest number of coins you can convert with betty,,,
,,,,,,,Find that info at,----->,https://sfl.world/util/prices
,,,,,,,,,"Look at the ""Coin Rate"" Column, and find the biggest number"
Total Boost,,Total Mineral Add,,Total Tools,,,,,
Wood,1,Wood,0,Axe,350,,,,
Stone,1.45,Stone,0.9,Wood Pick,160,,,,
Iron,1.35,Iron,0,Stone Pick,50,,,,
Gold,1.15,Gold,0,Iron Pick,15,,,,
Crimstone,0.5,Crim,0,Gold Pick,10,,,,
,Change the TRUE/FALSE to reflect the items you own,,,,,,,<----- Push this button to pull the most recent prices from the player market,
,TRUE = i have this, FALSE = i do not have this,,,,,,may ask for account permissions when updating manually,
Boosts,true/false,add amount,description,,,,,Original sheet updates automatically at the top of every hour,
,,,,,,,,,
Items,Emerald Turtle is Special and appears in several places. Only turn on 1 at a time.,,,,,,,,
Multiple,,,,,,,,,
Faction Shield,FALSE,0,0.25 wood and minerals,,,,,,
Volcano Gnome,TRUE,0.1,0.1 Minerals,,,,,,
Cave Bud,FALSE,0,0.2 Minerals,,,,,,
Mineral Stem,FALSE,0,0.2 Minerals,,,,,,
,,,,,,,,,
Wood,Beavers are special and don't stack. Only select 1 at a time,,,,,,,,
# of Trees,23,<-- Change this number to the number of trees you have,,,,,,,
,,,,,,,,,
Squirrel,TRUE,0.1,0.1 wood,,,,,,
Tiki Totem,TRUE,0.1,0.1 wood,,,,,,
Woody Beaver,FALSE,0,0.2 wood,,,,,,
Apprentice Beaver,TRUE,0.2,0.2 wood & -50% tree recovery time,,,,,,
Foreman Beaver,FALSE,0,0.2 wood & -50% tree recovery time & chop trees w/ no axe,,,,,,
Wood Nymph Wendy,TRUE,0.1,0.2 wood,,,,,,
Wood Bud,FALSE,0,0.2 wood,,,,,,
Bud Stem,FALSE,0,0.1 wood,,,,,,
,,,,,,,,,
,Total,0.5,,,,,,,
,,,,,,,,,
Stone,Emerald Turtle is Special and appears in several places. Only turn on 1 at a time.,,,,,,,,
# of Stones,20,<-- Change this number to the number of stones nodes you have,,,,,,,
,,,,,,,,,
Stone Beetle,TRUE,0.1,0.1 stone,,,,,,
Tunnel Mole,TRUE,0.25,0.25 stone,,,,,,
Rock Golem,TRUE,0.2,10% chance of +2 stone,,0.2,0.2,,,
Tin Turtle,TRUE,0.9,0.1 stone (3x3 AOE),,,,,,
Emerald Turtle,FALSE,0,0.5 stone (3x3 AOE),,,,,,
Quarry,FALSE,1,no picks for mining,,,,,,
Bud Stem,FALSE,0,0.2 stone,,,,,,
,,,,,,,,,
,Total,0.55,Add,0.9,,,,,
,,,,,,,,,
Iron,Emerald Turtle is Special and appears in several places. Only turn on 1 at a time.,,,,,,,,
# of Iron,13,<-- Change this number to the number of iron nodes you have,,,,,,,
,,,,,,,,,
Iron Beetle,TRUE,0.1,0.1 Iron,,,,,,
Radiant Ray,TRUE,0.1,0.1 Iron,,,,,,
Rocky the Mole,TRUE,0.25,0.25 Iron,,,,,,
Iron Idol,FALSE,0,1 Iron,,,,,,
Emerald Turtle,FALSE,0,0.5 Iron (3x3 AOE),,,,,,
Bud Stem,FALSE,0,0.2 Iron,,,,,,
,,,,,,,,,
,Total,0.45,Add,0,,,,,
,,,,,,,,,
Gold,Emerald Turtle is Special and appears in several places. Only turn on 1 at a time.,,,,,,,,
# of Gold,9,<-- Change this number to the number of gold nodes you have,,,,,,,
,,,,,,,,,
Gilded Swordfish,FALSE,0,0.1 Gold,,,,,,
Gold Beetle,TRUE,0.1,0.1 Gold,,,,,,
