,,,,,,,,,,,,
,Restock Cost,0.5766695401,"<-- auto filled from ""restock"" page",,,,,,,,,
,Tax,0.925,,,,,,,,,,
,,,,,,,,,,,,
,"Keep in mind numbers might not add up to your exact amounts, as these numbers are based on averages, not actual RNG",,,,,,,,,,,
,,,,,,,,,,,,
,Per Tool,,,,,,,,,,,
,Resource,Yield per axe/pick,Coin Cost,Mineral Cost (flower),Total Cost,Yield Price,Diff (profit),,,,,
,,,,,,,,,,,,
,Wood,2,16,0,0.0157016683,0.018329504,0.002627835698,,,,,
,Stone,2.55,16,0.02972352,0.0454251883,0.04534107188,-0.00008411642726,,,,0,0.9
,Iron,2.35,16,0.12583602,0.1415376883,0.1303042265,-0.01123346185,,,,0,
,Gold,2.15,64,0.32944572,0.3922523932,0.4773,0.08504760679,,,,0,
,Crimstone,1.5,80,0.74972352,0.8282318615,0.81848625,-0.009745611511,,,,,
,,,,,,,,,,,,
,Per Restock,,,,,,,,,,,
,Resource,Stock axe/pick,Yield per axe/pick,Total Yield,Coin Cost,Coin Cost Total,Mineral Cost (1),Mineral Cost (Total),Total Cost (flower),Yield Price,Diff (profit),
,,,,,,,\,,,,,
,Wood,350,2,700,16,5600,0,0,5.495583906,6.935488,1.439904094,
,Stone,160,2.55,408,16,2560,0.02972352,4.7557632,7.268030128,7.84278,0.5747498716,
,Iron,50,2.35,117.5,16,800,0.12583602,6.291801,7.076884415,7.0434717,-0.03341271511,
,Gold,15,2.15,32.25,64,960,0.32944572,4.9416858,5.883785898,7.74,1.856214102,
,Crimstone,10,1.5,15,80,800,0.74972352,7.4972352,8.282318615,8.8485,0.5661813849,
,,,,,,,,,,,,
,,,,,,,,,,Total,3.826967197,
,,,,,,,,,,No Crim,3.837455353,
