,,,,,,Anything on this page that is in ,,GREEN,"either; needs to be changed by you, to your numbers; or has info for you about this page."
,,,,,,,,,
,my cow asks for,2.54,food for each feeding,,,"New update: Feed is now automatically calculated, simply input your items/skills below",,,
,,,,,,,,,
,my tax % when selling on the player network is,,,7.5,,"<--- Change this number to: the % of tax that your currently pay when selling on the player market as a plain number (50,25,20,10,15,7.5)",,,
,,,,,,,,,
,my cows sleep for,24,# of hours,,,<--- Change this number to the # of hours your cows sleep for,,,
,,,,,,,,,
,Best Betty Conversion rate is:,,1000,,,<--- Change this number to the highest number of coins you can convert with betty,,,
,,,,,,,Find that info at,----->,https://sfl.world./util/prices
,,,,,,,"Look at the ""Coin Rate"" Column, and find the biggest number",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Change the TRUE/FALSE to reflect the items you own,,,,,,,<----- Push this button to pull the most recent prices from the player market,
,TRUE = i have this, FALSE = i do not have this,,,,,,may ask for account permissions when updating manually,
Boosts,true/false,add amount,description,,,,,sheet updates automatically at the top of every hour,
,,,,,,,,,
Items,,,,,,,,,
W. Sheep Onesie,TRUE,0.25,0.25 wool,,,,,,
Toxic Tuft,TRUE,0.1,0.1 merino wool,,,,,,
Merino Jumper,TRUE,1,1 merino wool,,,,,,
B. Sheep Onesie,TRUE,2,2 wool,,,,,,
Cattlegrim,TRUE,0.25,0.25 wool & merino wool,,,,,,
Bullwhip,TRUE,0.5,50% feed reduction,,,,,,
Gold Sheep,TRUE,0,feed sheep for free,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Skills,,,,,,,,,
Efficient Feeding,TRUE,0.95,5% feed reduction,,,,,,
Fine Fibers,TRUE,0.1,0.1 Merino wool,,,,,,
Double Bale,TRUE,0.1,0.1 wool,,,,,,
Bale Economy,TRUE,0.1,0.1 wool,,,,,,
Abundant Harvest,TRUE,0.2,0.2 wool,,,,,,
Sheepwise Diet,FALSE,1,25% feed reducion,,,,,,
Chonky Feed,TRUE,1.5,1.5x feed 2x exp,2,,,,,
,,,,,,,,,
,,,,,,,,,
Total Wool Boost,Total Merino Boost,Feed Total,,,,,,,
2.9,1.45,0,,,,,,,
,,,,,,,,,
,,,,,,,,,
level,coin,wood,iron,gold,crimstone,oil,cost (flower),,
1,200,150,10,10,0,0,6.167,,
2,10000,1000,100,75,30,0,78.4965,,
3,75000,5000,300,200,125,250,361.6497,,
,,,,,,,,,
p2p costs,,,,,,,,,
coin,0.001,,,,,,,,
wood,0.0122,,,,,,,,
iron,0.075,,,,,,,,
gold,0.3387,,,,,,,,
crim,0.7798,,,,,,,,
oil,0.1517388,<--- Oil is calculated using the cost of materials for the drill from the p2p prices,,,,,,,
wool,0.080499,,( ( (20*wood)+(9*iron)+(20*wool) ) *3) /50 = cost per 1 oil,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
level,sell limit (per week),,,,,,,,
1,5,,,,,,,,
2,8,,,,,,,,
3,10,,,,,,,,
