Corn,Wheat,Barley,Wool,Merino wool,Kale,Mixed,Kale Mixed,Kept After Tax,,wool boost,Merino Boost,Exp Modifer,food ask amnt
0.0557922,0.022763,0.040558,0.080499,0.06699,0.025598,0.1191132,0.076794,0.925,,2.9,1.45,2,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
cow lvl,type food,food xp reward,xp needed,xp gained,# needed,amnt food,Wool per lvl,Merino per lvl,flower per lvl,flower gained p2p,profit (both),profit (merino only),profit (wool only)
1,corn,120,180,240,2,0,3.9,2.45,0,0.44221623,0.44221623,0.1641255,0.3139461
2,corn,120,360,360,1,0,3.9,2.45,0,0.44221623,0.44221623,0.1641255,0.3139461
3,corn,120,720,720,3,0,3.9,2.45,0,0.44221623,0.44221623,0.1641255,0.3139461
4,wheat,120,1080,1080,3,0,4.9,2.45,0,0.516677805,0.516677805,0.1641255,0.3944451
5,wheat,120,1440,1440,3,0,4.9,2.45,0,0.516677805,0.516677805,0.1641255,0.3944451
6,wheat,120,1980,2040,5,0,4.9,3.45,0,0.578643555,0.578643555,0.1399251,0.3944451
7,barley,120,2520,2520,4,0,4.9,3.45,0,0.578643555,0.578643555,0.2311155,0.3944451
8,barley,120,3060,3120,5,0,5.9,3.45,0,0.65310513,0.65310513,0.2311155,0.4749441
9,barley,120,3600,3600,4,0,5.9,3.45,0,0.65310513,0.65310513,0.2311155,0.4749441
10,barley,120,4320,4320,6,0,5.9,4.45,0,0.71507088,0.71507088,0.2981055,0.4749441
11,mixed,160,5040,5120,5,0,5.9,4.45,0,0.71507088,0.71507088,0.2981055,0.4749441
12,mixed,160,5760,5760,4,0,5.9,4.45,0,0.71507088,0.71507088,0.2981055,0.4749441
13,mixed,160,6480,6560,5,0,5.9,4.45,0,0.71507088,0.71507088,0.2981055,0.4749441
14,mixed,160,7200,7200,4,0,5.9,4.45,0,0.71507088,0.71507088,0.2981055,0.4749441
15,mixed,160,8160,8160,6,0,6.9,5.45,0,0.851498205,0.851498205,0.3650955,0.5554431
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,only feed to level:,,,
,,,,,,,,,,5,2.3600043,,
,,,,,,,,,,10,5.53857255,,
,,,,,,,,,,15,9.250354275,,
